x	t=0.5	t=1.2	t=2.0
-0.17000000000000004	0.11333336104454286	0.21177881273554092	0.46658978216631575
-0.16000000000000003	0.10666669438177265	0.19946132152053467	0.46134835280648234
-0.15000000000000002	0.10000002771890233	0.18710131565187146	0.4551915614307805
-0.14	0.09333336105598324	0.1747076374756736	0.4479264385762363
-0.13	0.0866666943930408	0.16228758762970413	0.43931173864708417
-0.12	0.08000002773008728	0.14984711288636957	0.42904595986055105
-0.10999999999999999	0.07333336106712858	0.13739099355148318	0.4167540332344995
-0.09999999999999998	0.06666669440416743	0.12492302283554704	0.4019743370935146
-0.08999999999999997	0.06000002774120523	0.11244617282924754	0.3841495683387845
-0.07999999999999996	0.05333336107824254	0.09996274373915175	0.3626278641142525
-0.06999999999999995	0.046666694415279514	0.08747449477182369	0.33668422557135375
